Year,Branch,Enroll No.,Name,Mobile No.,Email Address
2020,CE,2001,Tejas,98765,Tejas@ict.gnu.ac.in
2020,ME,2002,Rohan,98766,Rohan@ict.gnu.ac.in
2020,CE,2003,Vinay,98767,Vinay@ict.gnu.ac.in
2020,CSE,2004,Rahul,98768,Rahul@ict.gnu.ac.in
2020,ME,2005,Roy,98769,Roy@ict.gnu.ac.in
2021,CE,2006,Ronit,98770,Ronit@ict.gnu.ac.in
2021,ME,2007,Dhruv,98771,Dhruv@ict.gnu.ac.in
2021,CE,2008,Chirag,98772,Chirag@ict.gnu.ac.in
2021,CSE,2009,Vishal,98773,Vishal@ict.gnu.ac.in
2021,ME,2010,Nisarg,98774,Nisarg@ict.gnu.ac.in
2021,CE,2011,Pragnesh,98775,Pragnesh@ict.gnu.ac.in
